WKT,identifica,rdf_seeals,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,fuuid,longitude,latitude
"MULTIPOLYGON (((6.76942765400199 53.3478038452803,6.76945754786056 53.3477246017655,6.76944563363864 53.3477230313197,6.76945991645561 53.3476861130898,6.76935403677354 53.3476718736768,6.76933977982229 53.347709600365,6.76935456072188 53.3477115871869,6.76932507955527 53.3477896577101,6.76942765400199 53.3478038452803)))","0024100000149033",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000149033,1920,Pand in gebruik,woonfunctie,122,122,1,pand.091e0fdc-c63c-4bea-867f-823ae7789d79,6.769,53.348
"MULTIPOLYGON (((6.76329330954473 53.3478527788379,6.7634239548049 53.3478741718135,6.76344531253839 53.3478277467321,6.76346128511018 53.3478303766381,6.7634843978225 53.3477801302536,6.76332501944515 53.3477534137851,6.7633019900294 53.3478034524997,6.7633150185924 53.3478055949101,6.76329330954473 53.3478527788379)))","0024100000149034",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000149034,1925,Pand in gebruik,woonfunctie,158,158,1,pand.f142442e-98be-4c8f-977b-e5c5fdb27824,6.763,53.348
"MULTIPOLYGON (((6.76615282603807 53.3476765544956,6.7661161123372 53.3477643674132,6.76605712619712 53.3477555362922,6.76602077521877 53.347842491317,6.76611507165093 53.3478566058844,6.76615266444046 53.3477666980647,6.76624928467642 53.3477811633028,6.76628563551524 53.3476960953305,6.76615282603807 53.3476765544956)))","0024100000149036",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000149036,1931,Pand in gebruik,woonfunctie,246,246,1,pand.d53e2afe-cc28-4f05-b71b-7746c8b21fbe,6.766,53.348
"MULTIPOLYGON (((6.714302568246 53.3705532379959,6.71426561145502 53.3705690030433,6.71432707611686 53.3706205165548,6.71436403265215 53.3706047425056,6.71441178218049 53.3705779221998,6.71437344506965 53.3705552687193,6.71433309253229 53.3705788263046,6.714302568246 53.3705532379959)))","0024100000152114",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152114,1991,Pand in gebruik,,,,0,pand.e504ed9b-3d1d-4208-aeb2-a34b6f51ea61,6.714,53.371
"MULTIPOLYGON (((6.77084317455438 53.3701780048525,6.7708284208699 53.3702032731542,6.77086977783199 53.3702119095115,6.77088453149505 53.3701866412049,6.77084317455438 53.3701780048525)))","0024100000152116",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152116,1996,Pand in gebruik,,,,0,pand.ee37c23e-4948-4915-ad66-02d2125bd88c,6.771,53.370
"MULTIPOLYGON (((6.71499263705598 53.3710879286414,6.71503619826482 53.3710665819612,6.71504233166161 53.3710710612546,6.71511636948556 53.3710347846169,6.71508184423815 53.3710095731574,6.71496422992841 53.3710671876268,6.71499263705598 53.3710879286414)))","0024100000152118",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152118,1982,Pand in gebruik,,,,0,pand.35bf75fc-edd1-4fd2-b52d-ac6588474d7d,6.715,53.371
"MULTIPOLYGON (((6.71722686456045 53.3714373767253,6.71726408223502 53.3714368663827,6.71725931025349 53.3713121463344,6.71715031588844 53.3713136389466,6.71715412483838 53.37141304665,6.71722590180229 53.3714120643759,6.71722686456045 53.3714373767253)))","0024100000152120",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152120,1987,Pand in gebruik,,,,0,pand.66a6150e-02fa-4de3-9efe-2d0fffaff12c,6.717,53.371
"MULTIPOLYGON (((6.77031174429008 53.371083415272,6.7702808349914 53.371138991148,6.77033494276962 53.3711497546112,6.7703658520059 53.3710941787217,6.77031174429008 53.371083415272)))","0024100000152123",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152123,1936,Pand in gebruik,,,,0,pand.e6404415-5dc5-4772-89a6-84d3bf1e95ae,6.770,53.371
"MULTIPOLYGON (((6.76957478089284 53.3763670690427,6.7695951450121 53.3763259746564,6.76949373347159 53.3763080082222,6.76947336926366 53.3763491025918,6.76957478089284 53.3763670690427)))","0024100000152125",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152125,1995,Pand in gebruik,,,,0,pand.ff264537-078b-4ed0-9fd2-774c0c98b9ba,6.770,53.376
"MULTIPOLYGON (((6.77698166915744 53.3654977971471,6.77696719515209 53.3655520348109,6.7770106585413 53.3655562144722,6.77700352965737 53.3655829591259,6.77709590410046 53.3655915969369,6.77711725268814 53.3655111207661,6.77698166915744 53.3654977971471)))","0024100000155090",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000155090,2019,Pand in gebruik,woonfunctie,110,110,1,pand.9ac2d511-a21d-4ed7-a73d-687cc399a197,6.777,53.366
"MULTIPOLYGON (((6.77723865973604 53.3657302050961,6.77716321371259 53.3657005415843,6.77708764069707 53.3657692792212,6.77716410664598 53.3657993533493,6.77723865973604 53.3657302050961)))","0024100000155091",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000155091,2019,Pand in gebruik,woonfunctie,101,101,1,pand.2c5cfec0-6d3e-41b1-93bb-a53c6189b6f9,6.777,53.366
"MULTIPOLYGON (((6.7136021548147 53.367500241034,6.71358259262193 53.3675231288355,6.71353047800522 53.3675071869068,6.71351122009773 53.3675297118946,6.7135829611002 53.3675516558446,6.71362179618389 53.3675062428754,6.7136021548147 53.367500241034)))","0024100000150454",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000150454,1954,Pand in gebruik,,,,0,pand.f287c064-020d-4353-8ea9-41ce726709a5,6.714,53.368
"MULTIPOLYGON (((6.77431865817986 53.3669407920135,6.77435786374884 53.366868314956,6.77427073600231 53.3668514549951,6.77423153030144 53.366923932025,6.77431865817986 53.3669407920135)))","0024100000150455",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000150455,1995,Pand in gebruik,,,,0,pand.cd6baa2b-485f-4e61-b3a8-86f81d8efdb2,6.774,53.367
